     8.00   57.89   -0.73
     8.04   58.02   -0.64
     8.08   58.18   -0.56
     8.12   58.35   -0.49
     8.16   58.55   -0.43
     8.20   58.76   -0.38
     8.24   59.00   -0.33
     8.28   59.26   -0.29
     8.32   59.54   -0.25
     8.36   59.84   -0.22
     8.40   60.17   -0.19
     8.44   60.51   -0.17
     8.48   60.87   -0.15
     8.52   61.27   -0.13
     8.56   61.68   -0.11
     8.60   62.12   -0.10
     8.64   62.58   -0.09
     8.68   63.07   -0.08
     8.72   63.57   -0.07
     8.76   64.08   -0.06
     8.80   64.62   -0.05
     8.84   65.16   -0.05
     8.88   65.72   -0.04
     8.92   66.29   -0.03
     8.96   66.87   -0.03
     9.00   67.46   -0.03
     9.04   68.05   -0.02
     9.08   68.64   -0.02
     9.12   69.23   -0.02
     9.16   69.82   -0.02
     9.20   70.41   -0.01
     9.24   71.00   -0.01
     9.28   71.57   -0.01
     9.32   72.14   -0.01
     9.36   72.70   -0.01
     9.40   73.25   -0.01
     9.44   73.78   -0.01
     9.48   74.30   -0.01
     9.52   74.81   -0.00
     9.56   75.30   -0.00
     9.60   75.77   -0.00
     9.64   76.22   -0.00
     9.68   76.66   -0.00
     9.72   77.07   -0.00
     9.76   77.46   -0.00
     9.80   77.84   -0.00
     9.84   78.19   -0.00
     9.88   78.52   -0.00
     9.92   78.84   -0.00
     9.96   79.13   -0.00
    10.00   79.39   -0.00
    10.04   79.64   -0.00
    10.08   79.87   -0.00
    10.12   80.08   -0.00
    10.16   80.26   -0.00
    10.20   80.43   -0.00
    10.24   80.58   -0.00
    10.28   80.71   -0.00
    10.32   80.82   -0.00
    10.36   80.92   -0.00
    10.40   80.99   -0.00
    10.44   81.05   -0.00
    10.48   81.10   -0.00
    10.52   81.12   -0.00
    10.56   81.14   -0.00
    10.60   81.14   -0.00
    10.64   81.12   -0.00
    10.68   81.10   -0.00
    10.72   81.06   -0.00
    10.76   81.01   -0.00
    10.80   80.95   -0.00
    10.84   80.87   -0.00
    10.88   80.79   -0.00
    10.92   80.70   -0.00
    10.96   80.59   -0.00
    11.00   80.48   -0.00
    11.04   80.37   -0.00
    11.08   80.24   -0.00
    11.12   80.11   -0.00
    11.16   79.97   -0.00
    11.20   79.82   -0.00
    11.24   79.67   -0.00
    11.28   79.51   -0.00
    11.32   79.34   -0.00
    11.36   79.18   -0.00
    11.40   79.00   -0.00
    11.44   78.83   -0.00
    11.48   78.65   -0.00
    11.52   78.46   -0.00
    11.56   78.27   -0.00
    11.60   78.08   -0.00
    11.64   77.89   -0.00
    11.68   77.69   -0.00
    11.72   77.49   -0.00
    11.76   77.29   -0.00
    11.80   77.09   -0.00
    11.84   76.89   -0.00
    11.88   76.68   -0.00
    11.92   76.47   -0.00
    11.96   76.26   -0.00
    12.00   76.05   -0.00
    12.04   75.84   -0.00
    12.08   75.63   -0.00
    12.12   75.42   -0.00
    12.16   75.20   -0.00
    12.20   74.99   -0.00
    12.24   74.78   -0.00
    12.28   74.56   -0.00
    12.32   74.35   -0.00
    12.36   74.13   -0.00
    12.40   73.92   -0.00
    12.44   73.70   -0.00
    12.48   73.49   -0.00
    12.52   73.28   -0.00
    12.56   73.06   -0.00
    12.60   72.85   -0.00
    12.64   72.63   -0.00
    12.68   72.42   -0.00
    12.72   72.21   -0.00
    12.76   72.00   -0.00
    12.80   71.79   -0.00
    12.84   71.58   -0.00
    12.88   71.36   -0.00
    12.92   71.16   -0.00
    12.96   70.95   -0.00
    13.00   70.74   -0.00
    13.04   70.53   -0.00
    13.08   70.32   -0.00
    13.12   70.12   -0.00
    13.16   69.91   -0.00
    13.20   69.71   -0.00
    13.24   69.50   -0.00
    13.28   69.30   -0.00
    13.32   69.10   -0.00
    13.36   68.90   -0.00
    13.40   68.70   -0.00
    13.44   68.50   -0.00
    13.48   68.30   -0.00
    13.52   68.10   -0.00
    13.56   67.91   -0.00
    13.60   67.71   -0.00
    13.64   67.52   -0.00
    13.68   67.32   -0.00
    13.72   67.13   -0.00
    13.76   66.94   -0.00
    13.80   66.75   -0.00
    13.84   66.56   -0.00
    13.88   66.37   -0.00
    13.92   66.18   -0.00
    13.96   65.99   -0.00
    14.00   65.81   -0.00
    14.04   65.62   -0.00
    14.08   65.44   -0.00
    14.12   65.25   -0.00
    14.16   65.07   -0.00
    14.20   64.89   -0.00
    14.24   64.71   -0.00
    14.28   64.53   -0.00
    14.32   64.35   -0.00
    14.36   64.17   -0.00
    14.40   63.99   -0.00
    14.44   63.82   -0.00
